pid,label,city,state-province,venue,show-date,charity,cover-alt,artistic-director,performers,performer-cities,performers-states-provinces,featured,concertmaster,instruments,sponsors,design,song-keys
PROG1,Melodies of Ukraine,Providence; Boston,RI; MA,Gilder Center for the Arts at The Wheeler School; The Dorothy & Charles Mosesian Center for the Arts,4/13/2024; 4/14/2024,Ukrainian Charitable Platform,"Long-haired woman with blue and yellow flowers in her hair, blue and yellow earrings, and a black blouse plays a golden bandura amidst a field of golden wheat on a royal blue background",Oksana Rodak + Oksana Zelinska,Motria Poshyvanyk Caudill; Alina Chemerys; Natalka Gil ; Christina Hlutkowsky; Lesya Klimchenko; Taisa Kulyk; Irene Kytasty-Kuzma; Teryn Kytasty-Kuzma; Kalyna Leshchuk; Uliana Leshchuk; Krystina Lewicki; Yoanna Matsevych; Khrystyna Musiy; Alisa Osevalyuk; Maria Pleshkevich; Roxolyana Shepko-Hamilton; Olesia Skorets; Solomia Stakhiv; Adriana Tuz ,Chicago; Chicago; Toronto; State College; Chicago; Philadelphia; Hartford; New York; Whippany; Washington; Toronto; Chicago; Chicago; Toronto; Boston; Toronto; Philadelphia; New York; Toronto,IL; IL; ON; PA; CT; NY; NJ; D.C.; ON; IL; IL; ON; MA; ON; PA; NY; ON,Duet Malvy; The Chicago Bandura Ensemble; Teryn Kuzma; The Toronto Regional Group,Teryn Kuzma,Violin - Roxolyana Shepko-Hamilton; Drums - Krystina Lewicki,Selfreliance Foundation University Orthopedics; Wheeler School,Roxolyana Shepko-Hamilton,SONG1; SONG2; SONG3; SONG4; SONG5; SONG6; SONG7; SONG8; SONG9; SONG10; SONG11; SONG12; SONG13
PROG2,Songs from Near & Far,Pittsburgh; Cleveland; Detroit,PA; OH; MI,Bellefield HallAuditorium at the Universityof Pittsburgh; Pokrova Ukrainian Catholic Church; Kirk in the Hills Refectory,3/28/2025; 3/29/2025; 3/30/2025,UCARE_-Ukrainian Children's Aid and Relief Effort,Yellow bandura form enclosing songbird on a branch to the right against a mountainous background,Oksana Rodak + Oksana Zelinska,Mariya Bakhador; Motria Poshyvanyk Caudill; Alina Chemerys; Natalka Gil; Christina Hlutkowsky; Lesya Klimchenko; Taisa Kulyk; Irene Kytasty-Kuzma; Teryn Kytasty-Kuzma; Kalyna Leshchuk; Krystina Lewicki; Yoanna Matsevych; Angelina Mehes; Khrystyna Musiy; Alisa Osevalyuk; Maria Pleshkevich; Olesia Skorets; Maria Smereka-Hladio; Solomia Stakhiv,Flint; Chicago; Chicago; Toronto; State College; Chicago; Philadelphia; Hartfoed; New York; Whippany; Toronto; Chicago; Minneapolis; Chicago; Toronto; Boston; Philadelphia; San Antonio; New York,MI; IL; IL; ON; PA; IL; PA; CT; NY; NJ; ON; IL; MN; IL; ON; MA; PA; TX; NY,The Chicago Bandura Ensemble; Toronto Regional Group; East Coast and Mid-Atlantic Region; Mid-Atlantic Trio,Teryn Kytasty-Kuzma,Violin: Halyna Ischak; Drums: Krystina Lewicki,"University of Pittsburgh ; Heritage Foundation of First Security Federal Savings Bank (Chicago, IL); Selfreliance Foundation of Selfreliance Federal Credit Union (Chicago, IL); Irka Zawadiwska",Julian Hayda,SONG2; SONG3; SONG14; SONG5; SONG15; SONG16; SONG17; SONG7; SONG18; SONG9; SONG19; SONG20; SONG21; SONG12; SONG11; SONG13
